pdb_id,chain,split,cv_batch,n_residues,n_binding,row_hash
4nd2,A,training,4,317,20,230620a0
4nec,C,testing,0,233,13,8905ecd9
4nes,A,training,5,356,25,29a35fb9
4nf1,E,training,1,147,10,d3d68c0d
4nff,A,training,4,229,12,33ffb7a1
4nfi,F,training,1,344,10,87614b2b
4nfl,A,training,5,201,8,19e2135b
4nfn,A,training,2,293,10,137ff16a
4nhx,A,training,4,457,7,bb084d88
4njh,A,training,3,209,23,6f0d7266
4njo,A,training,1,302,15,2a85af91
4njs,B,testing,0,99,7,a7a4166a
4nkt,B,val,0,308,9,05b50966
4nl5,A,testing,0,101,12,779cacb9
4nlg,A,training,2,344,7,01536375
4nog,A,training,5,422,8,8b94735b
4nos,D,training,1,420,19,8fbb6309
4npl,A,training,5,213,9,212b0576
4npt,A,training,2,99,7,0dd13c70
4nrt,A,testing,0,500,7,c7da2a30
4nst,C,training,3,317,12,aa996516
4nsv,A,training,4,264,9,84527fa7
4ntc,B,training,1,314,25,25eb59c7
4ntd,A,training,1,318,20,5d9833b4
4ntk,B,testing,0,118,9,de299e54
4nu0,A,training,5,212,26,3a24ac75
4nv1,B,training,3,241,10,2778fae3
4nv7,A,training,2,268,12,bbe494de
4nvb,A,training,1,289,20,54e84dfc
4nvq,B,training,3,263,24,be3f4932
4nw6,A,testing,0,302,9,8f44d75d
4nwi,B,training,2,296,8,8a02985c
4nwx,A,training,5,503,6,d64313ac
4nz6,B,testing,0,309,6,1e04911b
4nzn,A,testing,0,325,19,a95fb9ab
4o08,A,training,5,287,11,ff41ccaa
4o0a,A,testing,0,123,12,20caf74d
4o0h,B,training,1,295,6,5dbfa8e8
4o0l,A,training,3,266,24,8ec5c7f2
4o1e,A,training,1,271,9,0cc57d76
4o1m,E,testing,0,298,19,a767689c
4o25,A,training,1,167,18,69132e42
4o3f,A,training,5,409,11,49401888
4o4f,A,training,2,246,17,9ddc9408
4o4s,C,training,5,194,15,4f095f0c
4o59,O,training,1,332,15,7a703f69
4o6m,B,training,1,341,11,90724de4
4o6y,A,training,5,210,32,7804f40f
4o8j,A,training,1,341,9,bb37cde9
4o8o,A,training,5,303,8,542fcc62
4o95,A,training,3,467,30,89e54832
4o9c,C,training,5,393,10,8efb88ec
4oa5,A,val,0,212,12,6c2ae39c
4oav,D,training,5,674,19,20cb159c
4oaz,R,training,3,72,13,b028b013
4ob6,A,training,1,319,13,5acd9a48
4obo,A,training,4,275,10,280365a1
4obw,A,training,5,234,11,8d349414
4ock,A,training,1,345,12,e6e3e568
4ocv,A,training,1,355,11,64364597
4odo,C,val,0,153,9,638098a9
4oe4,A,training,2,479,12,6f27a10d
4oht,A,testing,0,455,11,78a0c908
4oic,A,training,2,182,9,c2ef040d
4oj8,B,training,1,271,13,1e3d3833
4ojx,A,training,1,363,7,8d02cc45
4ojz,A,training,4,706,5,206f3254
4ok5,A,training,2,441,11,6601ff88
4oke,A,training,3,160,6,e29469a8
4okz,C,val,0,345,16,c4f5603b
4olt,A,training,4,236,10,c9c39223
4om8,B,testing,0,308,15,eda31266
4oma,A,training,2,396,10,543600e0
4omj,A,training,4,274,12,34d7c3cb
4onm,B,training,2,149,8,857c7bbc
4oop,B,training,5,142,13,63b8fc78
4oq0,A,training,5,263,14,11e6e50e
4oqg,B,training,4,263,11,9314da32
4oqh,A,training,3,263,11,61f4036f
4oqp,A,training,3,254,8,06fa6aac
4oqr,A,training,3,386,20,fd87bbd6
4oqv,A,training,2,353,27,bb60e9ec
4ori,A,training,3,355,26,5970ae83
4osp,A,training,5,252,24,d8976ee2
4oth,A,training,3,305,12,19c39287
4oue,A,training,2,459,8,14cfe494
4ov4,A,training,5,379,5,e53b63fa
4ovw,A,training,4,399,9,7e2794c5
4owk,B,training,2,131,6,bc3877fd
4oxi,A,training,1,526,15,39fc0b22
4oy3,A,testing,0,230,11,edbbf254
4ozv,A,training,5,333,5,6214e748
4p05,B,training,4,564,7,6c435e04
4p10,A,training,2,402,11,ed79ad9f
4p3h,B,training,2,185,9,7735456c
4p4m,A,training,2,270,10,521531b9
4p53,A,training,1,360,20,68165e7b
4p58,A,val,0,205,8,6049ecf3
4p5e,A,training,1,140,12,8f7c969e
4p5q,A,training,1,275,10,3837b9d5
4p66,A,training,5,158,26,f628410b
4p7x,A,training,3,286,11,27bc5ace
4p8o,A,training,3,184,12,bb806166
4pa5,A,training,1,242,5,28f1e9cd
4pab,B,training,1,824,39,c358c687
4pbg,B,training,4,468,11,4a526256
4pc2,A,training,1,363,11,50c4999f
4peg,B,training,3,349,7,b5458455
4pf3,A,training,3,249,12,7a548466
4pfk,A,training,5,319,19,8463c10d
4pfo,A,training,1,755,8,948d5c33
4phr,A,training,3,277,16,907e0daf
4pie,A,training,2,202,15,19db71cd
4pio,A,training,2,306,18,4c4eb816
4pkb,A,training,5,357,6,856cfc4c
4pl9,A,training,2,150,10,6ef1ff89
4ple,A,training,4,241,16,7480f081
4plg,A,training,2,324,18,aedef3a2
4plt,C,training,4,318,19,5d354617
4plw,A,training,5,317,16,2dbd97dc
4pm0,A,testing,0,318,8,35a51fcb
4pnc,A,training,2,262,6,11c73d44
4pne,A,training,5,270,13,b01fc725
4png,A,val,0,221,11,27b0fb73
4pno,A,training,5,64,5,376359da
4poo,A,training,5,180,16,a84b1285
4ppm,B,training,5,462,8,4a7063a9
4ppr,A,training,2,300,9,a77436f3
4pqa,A,training,5,375,6,ff9f4c99
4pqg,A,training,5,506,13,e023e960
4pse,A,training,2,220,7,5bc56a51
4psw,A,training,5,316,8,9b2eb43a
4ptv,A,training,3,445,8,5beddb95
4pu5,A,training,2,438,14,b25801b8
4pvd,B,training,4,342,23,25669071
4pxc,A,training,5,423,5,7e699f6f
4pxd,A,training,3,411,10,93e34b2c
4pxk,A,training,1,236,9,4aa28ae5
4pxl,A,training,1,485,19,271d33db
4pxq,A,training,3,516,10,48e432bf
4py2,A,training,1,495,14,6d2c9853
4pya,A,testing,0,124,7,26e0806b
4pyt,A,training,2,302,26,6f2e3a1f
4pz2,A,val,0,491,22,ac7f1ca8
4pzv,A,val,0,413,16,c897bdbf
4q0k,A,training,4,154,6,ee7334af
4q0p,A,training,4,249,7,f49acc4b
4q11,A,training,5,126,6,dfe26383
4q3q,C,training,3,335,9,c00478db
4q4k,A,training,2,351,16,df205af1
4q5h,A,testing,0,169,11,8f60bfbd
4q7z,A,training,3,233,11,01fed179
4q9m,B,training,2,228,20,9d042946
4qb2,A,val,0,129,13,f644b130
4qb3,A,training,1,127,7,e90c07c2
4qbb,A,training,3,159,10,c130ccf5
4qbg,B,training,5,217,21,52ccf8bf
4qbk,A,testing,0,194,11,98a631af
4qc6,B,training,3,179,27,5dcde95f
4qck,A,training,5,355,15,3bdd5946
4qdc,A,training,3,369,14,9f158414
4qdi,A,training,4,457,10,0e1113a5
4qdj,A,training,4,208,14,c2660db6
4qed,A,training,3,248,15,9e10e448
4qeo,A,training,4,472,10,dab7f70c
4qer,A,val,0,121,6,be2687ce
4qge,B,training,5,320,7,41f63705
4qhp,A,training,5,848,18,b4435f8f
4qi1,C,training,1,228,23,895b33b7
4qi3,A,testing,0,207,14,44260d5c
4qih,B,testing,0,201,6,9ceb0df3
4qii,A,training,1,300,17,db6e73b6
4qjl,A,training,3,228,20,ce2324eb
4qjr,A,training,3,244,9,9f469f9c
4qkd,B,training,1,189,8,3334bd92
4qlx,A,training,1,217,18,aaae9b5f
4qn6,A,val,0,389,11,eff0520d
4qn7,B,training,1,390,9,3b1c35cb
4qnr,A,training,4,243,10,8d632acb
4qnw,A,training,3,369,12,25a3e59c
4qpd,B,training,4,308,20,ac8e6359
4qpl,A,testing,0,153,13,a9eaff62
4qrh,B,testing,0,186,14,2c5a0477
4qtb,A,training,3,351,18,58044030
4qtc,A,training,4,330,11,d075e8e2
4qtu,B,training,5,190,13,ceb711e7
4qu3,A,training,2,268,11,cb1a9211
4qvb,B,val,0,144,14,2ce4be7c
4qwp,A,training,5,237,7,caf99649
4qx8,A,testing,0,329,8,ea3df5df
4qys,A,training,5,408,15,7ab04998
4r0m,B,training,2,547,13,fb48aee4
4r17,K,training,3,211,7,228b3438
4r1s,A,training,5,319,16,3147c04a
4r1v,A,training,1,289,19,66472bab
4r29,A,training,1,199,13,4cfbd37d
4r2w,F,training,5,242,10,f50523b3
4r37,A,val,0,255,5,6fee3d98
4r38,A,training,2,109,11,9a80a100
4r3l,A,training,2,157,16,bc019ff7
4r3n,B,training,2,347,25,b6191265
4r43,A,training,4,601,11,e05c9f90
4r4u,A,training,3,277,8,fde6d4b7
4r4y,A,training,4,293,8,2a12746e
4r5e,A,training,5,343,7,07120387
4r5z,A,testing,0,353,12,5cf08785
4r6r,E,training,2,133,7,e708c130
4r78,A,training,3,287,11,c742601d
4r81,A,training,5,199,11,7f5b49b7
4r82,A,val,0,163,10,ec7fee07
4r84,A,training,2,474,11,4b555995
4r8h,A,testing,0,200,19,f3064c7b
4r8s,B,training,4,256,14,dd1d02ba
4rc7,B,training,3,222,10,f092e8e2
4rd4,A,training,2,414,21,1b5dd942
4rdr,A,training,3,699,11,21d8e78d
4rdy,B,training,1,313,11,753dbb86
4re5,A,val,0,574,8,b64b9bee
4re8,A,val,0,233,8,a40b5751
4rek,A,testing,0,498,27,47ed9b13
4rel,A,training,1,446,10,3f104faf
4rep,A,training,1,489,18,d63d38ad
4rf2,A,training,1,250,22,e8e9ca72
4rf8,A,testing,0,686,7,7e85bc60
4rg3,A,testing,0,529,39,e532689b
4rgb,B,training,1,274,23,8ed34081
4rgq,B,val,0,333,21,51e38307
4rhe,B,training,1,203,12,ad4dd63b
4rhx,C,val,0,176,14,70837a90
4ri1,A,val,0,178,12,1e69f5ad
4ri5,A,testing,0,284,7,43d3f730
4rif,A,training,2,370,17,24fb3b47
4rke,A,training,5,176,21,ea7aa6f8
4rkn,A,training,3,660,84,4c961ddd
4rkz,A,training,4,313,17,54ed7576
4rlf,A,testing,0,516,14,121bc2bc
4rlk,A,training,1,327,11,c9382289
4rm4,A,training,2,364,16,22d53682
4rnx,B,training,2,390,12,6c77fd8e
4rpm,A,training,5,388,5,9ceefd70
4rpn,D,training,4,218,17,e6c1d832
4rrf,A,training,5,138,12,705362c1
4rri,A,training,3,136,9,95397be5
4rrq,B,testing,0,147,11,e0ee5659
4rsl,A,training,1,436,26,7efa9aec
4rt1,A,training,3,108,15,d8adab71
4ruk,A,training,1,157,14,8478c2f9
4rvd,A,testing,0,417,9,58eb2581
4rvu,D,training,4,323,21,f4cafe7c
4rw5,A,training,4,278,8,555b542c
4rwn,A,training,1,349,16,124b7fdb
4ryv,A,training,3,155,21,df58fdee
4s0n,A,training,5,122,5,450479b3
4s1h,A,training,3,287,12,cd03132a
4s28,A,training,4,520,21,9bbee2bf
4s2b,A,training,1,316,8,0c4e20eb
4s39,A,training,4,400,9,73b51f82
4s3r,A,training,4,659,21,f9b51d07
4tm3,A,training,1,414,19,08643777
4tmb,B,training,4,374,16,5466f9bc
4tmk,A,training,4,210,18,21a18b26
4tmx,A,training,4,342,17,1fd2cb1c
4tpn,A,training,2,386,17,1e6f7582
4tpw,A,training,4,185,12,184cdb4f
4tr9,B,training,4,347,6,92b365a4
4trj,A,val,0,268,23,f0991608
4tro,A,training,4,268,23,f75480a3
4ts5,A,training,1,209,9,0342a20b
4tsk,A,training,2,333,13,1e4bc142
4tsq,E,training,4,178,17,da01b15f
4tsx,A,training,5,143,7,0d45c351
4ttq,A,training,2,201,10,83dac866
4tu5,X,testing,0,157,25,2fe36160
4tvf,A,training,5,352,18,ebfc54a1
4tvh,B,val,0,99,16,e08568e7
4tvt,A,training,4,207,6,f0e08082
4twl,A,val,0,239,9,f0d1a83b
4twv,A,training,4,153,11,f96990a5
4tx6,A,training,1,309,8,e1f2d00e
4tx9,A,training,2,244,11,ca6cb1b6
4txl,B,val,0,284,8,00f5f672
4u03,A,training,4,389,29,e8d6ac0a
4u0o,B,training,2,273,6,d9c7f6a3
4u0w,A,training,5,243,14,27570f0a
4u21,A,training,5,262,17,430cd1b9
4u63,A,training,3,482,26,f3c7e1df
4u6d,A,training,3,382,9,cec37a15
4u7o,A,training,4,234,12,19af08c2
4u7w,A,training,3,381,16,a49d8f2d
4u8p,B,training,4,505,32,21250e69
4u98,A,training,5,451,7,b303a1b3
4u9h,L,training,3,533,10,aa64cf78
4u9r,A,training,4,147,5,249e13b2
4u9s,C,training,2,219,9,7beb940b
4u9u,A,training,5,279,16,117a5925
4ua3,B,training,1,189,15,eb440aba
4uai,A,training,5,68,6,bb95661b
4uat,A,training,2,225,15,0852fa54
4ubs,A,training,2,393,22,f657f04a
4ubt,B,training,4,392,14,2c619a11
4ucc,B,training,2,228,8,6e62a023
4uci,B,training,4,370,30,a9c67ee1
4ud8,A,val,0,500,24,4c3a5336
4ud9,H,val,0,254,10,0ef39828
4udd,A,training,1,249,10,427070f7
4udx,X,testing,0,633,10,09e5f105
4ueq,U,training,1,545,12,a4fb7733
4ukd,A,training,2,191,21,0bfb76a8
4uma,A,training,2,333,8,3b91ecb8
4uoh,B,training,5,151,8,929fb350
4uox,B,training,3,452,11,d75c5064
4up3,A,testing,0,312,37,bfaa1c62
4uql,Q,training,2,542,10,eb950b5d
4ur8,D,training,5,303,9,6b1e4d1d
4urf,A,val,0,248,24,69d7f7b6
4usf,A,training,5,277,9,b92e1c47
4usr,A,training,3,357,18,4a28da1b
4usz,A,training,1,415,8,cf73aae2
4utg,A,training,1,345,10,0918fbea
4utu,B,training,5,229,10,d643c094
4uun,A,training,1,335,12,5b751156
4uwj,A,training,3,392,26,650f337c
4uwm,A,training,2,362,9,1b711ce0
4uxh,B,testing,0,164,22,27c0f902
4uxu,A,training,1,210,6,62a57295
4v08,B,training,2,224,5,d2b7e306
4v0r,A,training,2,852,23,7dcf62b3
4v15,A,training,2,373,12,68edfd00
4w1v,A,training,3,425,17,60656019
4w5k,A,training,1,380,11,b114c4e6
4w6z,A,training,4,347,27,b2e292a3
4w7k,A,training,4,446,17,5b4bc0e5
4w97,A,val,0,196,8,60176b1d
4w9s,A,training,1,200,8,d224fdc3
4w9x,A,training,3,300,13,14601ca6
4wa4,A,testing,0,384,8,ad3ec0c1
4was,A,testing,0,364,24,3eba88ac
4wb8,A,training,2,334,17,b12123d1
4wbd,A,training,3,540,7,e4d03f8e
4wbg,A,val,0,347,8,e6cf59ad
4wct,B,training,4,441,25,9682deaf
4wdb,A,training,1,212,7,6f19ed13
4wek,A,training,5,500,17,e73ee556
4wel,A,training,3,500,15,e2509f86
4wf2,A,training,4,304,17,c37d81cc
4wf8,A,val,0,192,13,f9881d48
4wgf,A,training,3,199,6,930fc8cd
4wgj,A,training,2,210,13,c63a470a
4wh9,A,training,4,177,6,cd3e3d1f
4wi1,A,training,3,440,9,5c354ff3
4wk7,A,training,4,209,12,d9626b98
4wkb,A,training,3,237,11,cc5f5cdd
4wkc,A,training,1,232,11,80d74257
4wlj,B,training,5,413,15,f012595b
4wma,A,training,5,299,10,8760ab2e
4wnk,A,training,1,499,15,d4927973
4wno,A,testing,0,272,10,da582fbe
4woe,A,training,2,716,39,24bffd0c
4woh,A,training,3,158,7,cdf27887
4wp9,A,training,1,165,14,353a9b70
4wpz,A,training,4,386,20,8d0d28df
4wqd,A,training,3,227,24,062065b8
4wql,A,training,2,175,6,107da15a
4wqm,A,training,5,326,23,d1d98545
4wr3,A,testing,0,359,9,d6df3b9a
4ws6,A,training,5,228,7,378ecacf
4wsj,D,training,1,440,10,3a582f5f
4wsq,A,training,5,317,14,c0bfafca
4wuj,C,training,2,145,17,fc37a1b4
4wuy,A,testing,0,414,17,a76c6c72
4wvc,A,training,3,413,6,b1630d47
4ww7,A,training,3,237,8,b7455a47
4wx4,A,training,4,201,16,57267e44
4wxg,A,training,1,410,12,e631e41f
4wy0,I,training,5,248,5,d963a1b2
4wyd,A,training,1,430,13,b2399fad
4wz4,A,training,5,360,8,4199476d
4wzh,A,training,4,304,18,e53a4c3c
4x1t,A,val,0,321,14,2f20fa70
4x2a,B,testing,0,175,11,34450581
4x2p,A,training,4,357,5,c85d0a38
4x3o,A,training,5,298,21,afce003c
4x3u,A,training,2,56,9,356beed4
4x55,A,training,1,243,10,78668986
4x5s,B,training,5,223,5,86a4bb7e
4x6h,A,training,2,215,8,e1bf0a5f
4x7k,A,testing,0,260,11,f50010f7
4x7q,B,training,5,243,12,f05d7237
4x7r,A,val,0,493,22,eb6ccc13
4x7y,A,training,3,250,15,99df8dc8
4x8e,A,training,4,428,6,fbe6484b
4x8y,A,training,3,112,8,3e480b44
4x91,B,val,0,376,8,c53cd277
4x9m,A,training,5,384,30,ca9ef899
4xac,A,training,2,245,7,5c38da72
4xaq,A,training,1,443,11,1012b0ae
4xar,A,training,4,445,12,d30ff286
4xb1,A,training,1,319,16,73878df7
4xba,B,training,2,193,10,febfa50e
4xcl,A,training,3,214,7,8fd39b7b
4xda,B,training,4,306,19,42cb8d21
4xdu,A,training,4,330,12,cdf15a4b
4xdy,A,training,2,331,19,b19c8d4c
4xdz,A,testing,0,328,15,9d61cc2f
4xez,A,val,0,186,6,13f81d49
4xf7,A,val,0,273,21,2e54ef7c
4xfm,A,training,5,400,6,9e8ecbae
4xgs,A,training,2,163,7,e5803905
4xgx,A,training,4,290,9,eeaa3e47
4xh4,A,training,4,394,11,16ce9202
4xhf,D,training,4,219,10,0ae8a0f7
4xhg,A,training,3,357,5,271b7a59
4xia,A,training,5,393,9,43efae14
4xj2,A,testing,0,162,9,0f36ec62
4xj6,A,training,5,370,13,371943bf
4xj7,D,testing,0,254,6,4ade92c3
4xjc,D,training,3,177,13,3b278112
4xl4,B,training,4,392,9,9f03402d
4xli,B,training,5,264,14,e399182f
4xme,A,training,2,184,13,7d31189a
4xo6,A,training,5,325,19,71ee0428
4xoo,C,training,3,199,8,52609029
4xp7,A,val,0,323,13,e5049e8e
4xpz,A,training,5,364,6,3901ffdd
4xqc,B,training,5,475,25,7f7dbdcd
4xt6,A,training,5,237,21,b4fca2db
4xtv,A,training,2,264,22,0d01e27b
4xuz,A,testing,0,262,12,1c6b0076
4xvx,A,testing,0,371,17,b8319bed
4xw2,A,training,2,184,5,dd4312a1
4xwh,A,training,3,719,12,961d841c
4xwt,B,training,2,543,5,558b5629
4xx0,A,training,4,303,14,5ff5d25c
4xxh,A,val,0,255,7,ea425ba2
4xxi,B,training,2,146,11,28ead6ad
4xyb,A,training,4,384,20,04812fed
4xzj,A,training,2,222,16,78fd8914
4y0a,A,training,4,179,8,9e8921c2
4y0h,B,training,3,462,10,47d0e51b
4y0s,A,training,5,157,7,6e8bf80c
4y0x,A,training,2,322,8,7f082896
4y1b,A,training,2,404,18,fd9d14ec
4y1p,B,training,1,336,6,5d3b8611
4y30,A,training,3,337,23,39840e07
4y4n,D,training,5,259,20,0413d509
4y4v,A,training,4,315,5,3772a36e
4y7u,A,training,5,224,15,9396a208
4y85,A,training,2,307,14,2c752b5a
4y86,A,training,5,322,7,39339454
4y95,A,training,2,266,13,c3f283f5
4y9j,B,training,4,593,34,d88e9451
4yac,A,training,4,270,9,3e93e351
4yag,A,training,1,271,25,c11a1b77
4ybm,A,training,2,177,7,d8ad890c
4yca,B,training,2,286,17,8750219c
4ycu,B,training,5,499,10,41804dc0
4yfu,A,training,1,578,7,bab82691
4ygf,A,testing,0,226,7,0678fb5b
4ygm,A,training,4,220,6,25189932
4yiw,B,training,5,426,8,21130746
4yji,A,training,2,490,6,8a5468d6
4yjr,A,training,1,263,12,d08df63c
4ykg,A,training,2,520,26,b8d78c11
4ykk,A,training,4,247,7,d38091c7
4yla,A,training,3,374,16,683f9366
4ylk,A,training,2,341,8,5583effe
4ylq,H,training,2,249,14,962ac3f5
4ylu,D,val,0,304,14,87dd91a9
4ymh,C,training,2,235,15,6564a33d
4yml,A,val,0,231,11,0b03cd9b
4ynr,B,training,4,143,21,557d6bf1
4ynu,A,training,3,569,29,6a58a90b
4yoi,A,training,1,306,16,e0532a4b
4yri,A,training,1,408,6,132a73c2
4ys0,A,training,3,814,9,963bc1e8
4ysn,D,training,2,442,10,52cf8976
4yt3,B,training,3,388,15,4db75610
4yt5,B,training,1,334,10,75d68e90
4ytt,D,val,0,292,16,6f132e4b
4yvg,A,val,0,239,12,0ad942a0
4yw3,B,training,3,659,9,f5ed8de0
4ywo,A,training,2,444,22,3cdc4f2d
4ywr,A,training,4,228,9,bd5e24c2
4yyy,B,training,1,440,7,21311099
4yzl,A,training,5,361,15,1bffb6f0
4yzx,A,training,4,198,5,026d135c
4z07,A,training,1,260,22,6187cb5a
4z0h,O,training,4,333,17,4115d431
4z0p,A,training,3,316,24,785d27b4
4z13,A,training,3,509,7,9a5e94cc
4z1d,B,val,0,256,8,42261a90
4z24,A,training,1,649,24,7468e510
4z2b,A,training,1,449,6,84fbcaa5
4z3x,A,training,1,653,14,5ec6c91c
4z4p,A,training,2,161,15,7470b956
4z55,A,training,3,294,11,c6701886
4z6v,C,training,3,354,10,9b303978
4z84,A,training,1,335,14,a762b184
4z87,A,training,5,498,40,4414470a
4za9,A,training,2,497,16,7b46345f
4zac,B,val,0,503,15,9d4dd837
4zah,H,training,5,368,14,a37b3c13
4zb6,A,testing,0,219,10,a1458840
4zb8,A,training,4,220,12,64ebe0f4
4zbb,B,training,4,222,19,ebdfb039
4zby,A,testing,0,194,7,4cde6abf
4zcd,A,training,3,323,31,ee483d43
4zcp,A,training,3,129,10,206ba715
4zdc,A,training,1,266,15,f7289d55
4zdj,A,training,3,535,8,b2e3aa68
4zdq,A,training,1,230,16,a4ee27da
4zev,A,training,4,290,7,07ac0369
4zfl,E,training,3,229,14,a8b382b9
4zfy,B,training,2,261,6,607d09e4
4zg4,E,training,2,711,9,332ed2c2
4zgp,A,val,0,249,11,ecb4c139
4zgs,G,val,0,343,16,99b155b6
4zhz,A,training,3,181,6,21722662
4zjz,A,training,3,517,17,f9b982d6
4zkd,A,training,4,470,12,00ae395b
4zl4,B,val,0,395,14,dc574ef8
4zla,A,val,0,485,10,1f6f4170
4zlf,A,training,2,785,7,9d860c4c
4zlu,A,training,2,432,13,4890b76d
4zm3,A,training,5,389,12,afc49986
4zn5,A,training,4,282,9,b00e798e
4zo3,A,training,1,294,8,c88c77ff
4zoa,A,training,4,716,8,75066538
4zrb,A,training,4,123,5,12c405cb
4zsi,A,training,5,166,12,1fe36612
4ztc,A,testing,0,385,14,af4e81eb
4zuq,B,training,5,341,8,1f53d0c6
4zvf,A,training,3,164,12,df1515d4
4zx2,A,training,1,325,11,071b5937
4zxa,Y,training,1,324,9,a6d67e61
4zxf,C,training,5,307,12,383d6ee4
4zy0,L,training,4,511,10,29edc73d
4zy2,H,training,1,518,12,f06380c5
4zyb,C,training,2,133,12,3afee054
4zz1,A,training,5,200,18,b5b3261e
4zz8,A,val,0,132,5,15f6bb8e
4zzt,A,training,5,433,5,e53e4f22
4zzx,A,training,2,351,7,890ae09e
5a06,C,training,5,336,30,a761ae78
5a07,A,val,0,395,12,98a6fc36
5a0u,D,testing,0,793,8,2c8266c5
5a24,A,training,4,222,7,22b348f6
5a2w,B,val,0,467,6,fd440aeb
5a3t,A,val,0,454,11,82bd98ac
5a50,B,training,4,165,7,6d62cda5
5a5l,A,training,1,338,10,12cd6dad
5a5w,A,training,3,245,20,1c84f198
5a61,A,training,1,429,10,789e753b
5a65,A,training,3,208,8,64e0d011
5a67,A,val,0,206,9,f870f200
5a6b,C,training,3,610,10,c2269002
5a6m,A,training,1,389,6,9c7d8dc2
5a7y,B,training,5,278,8,f659edb9
5a89,A,training,2,151,27,c341ac02
5a8r,D,training,5,542,7,e60090be
5a8w,G,testing,0,543,7,308531a6
5a92,A,training,1,260,10,33453f45
5aa4,A,training,1,418,22,7ec9a745
5abm,B,training,1,494,18,8f731695
5abo,A,training,4,315,18,fc4781fe
5abu,A,training,1,175,6,2154c048
5abw,A,training,3,215,10,fdc1e283
5abx,A,training,4,173,6,8f81b2b1
5aee,B,training,5,668,15,fe27e5af
5aew,K,training,5,433,15,170376f2
5af7,A,training,2,390,25,60b38706
5ag3,A,training,3,333,9,f04c5e97
5agv,A,training,4,390,10,d8bd9128
5agy,A,training,1,219,18,9ee144fe
5ah5,A,training,4,789,18,16c9067a
